,AGE,LENGTH,MAPSCOGRID,SLOPE,SUBAREA,DIAMETER,MATERIAL,PACP,SUBAREA_Encoded,MATERIAL_Encoded,MAPSCOGRID_Encoded
2617,30.2,281,66S,0.0171,VC02_03,8,P.V.C.,1,260,6,557
2618,38.8,138,104A,0.0065,SC08_06,6,V.C.,2,228,8,37
2619,9.6,177,46H,0.0038,MC07_01,10,P.V.C.,1,174,6,284
2620,16.4,300,90X,0.0039,SC08_03,36,P.V.C.,2,225,6,918
2621,10.4,319,103Q,0.0094,SC07_05,8,P.V.C.,1,220,6,27
2622,14.5,221,104N,0.0174,SC07_02,8,P.V.C.,1,217,6,49
2623,16.9,277,103P,0.0211,CF09_05,8,P.V.C.,1,98,6,26
2624,13.2,389,103K,0.0187,SC09_04,8,P.V.C.,2,232,6,22
2625,13.7,172,103N,0.0343,CF09_05,8,P.V.C.,2,98,6,25
2626,59.5,8,73Z,0.92,CF12_09,6,V.C.,2,119,8,642
2627,16.9,510,103P,0.0163,CF09_05,8,P.V.C.,1,98,6,26
2628,13.2,138,103K,0.0038,SC09_04,8,P.V.C.,2,232,6,22
2629,13.2,217,103J,0.0168,SC09_04,8,P.V.C.,2,232,6,21
2630,15.3,268,103P,0.0071,CF09_05,8,P.V.C.,2,98,6,26
2631,18.4,274,103Q,0.011000000000000001,SC07_06,8,P.V.C.,1,221,6,27
2632,18.4,329,103Q,0.011000000000000001,SC07_06,8,P.V.C.,1,221,6,27
2633,13.2,175,103J,0.0041,SC09_04,8,P.V.C.,2,232,6,21
2634,15.3,533,103P,0.006,CF09_05,8,P.V.C.,1,98,6,26
